Gene	antismash_cluster_type	mibig_cluster	mibig_product	compound
CIG00046_0001_139	lanthipeptide-class-ii	BGC0000555	RiPP:Lanthipeptide	staphylococcin C55 α
CIG00046_0005_21	NRPS,NRPS-like	BGC0000526	RiPP:Lanthipeptide	macedocin
CIG00046_0005_22	NRPS,NRPS-like	BGC0000547	RiPP:Lanthipeptide	salivaricin 9
CIG00046_0005_27	NRPS,NRPS-like	BGC0001824	NRP	xefoampeptides A-G
CIG00046_0005_29	NRPS,NRPS-like	BGC0001575	NRP	dipeptide aldehydes
CIG00046_0005_35	NRPS,NRPS-like	BGC0000526	RiPP:Lanthipeptide	macedocin
CIG00046_0005_44	NRPS,NRPS-like	BGC0001686	NRP	N-octanoyl-Met-Phe-H
CIG00046_0005_45	NRPS,NRPS-like	BGC0000561	RiPP:Lanthipeptide	thermophilin 1277
CIG00046_0005_46	NRPS,NRPS-like	BGC0000561	RiPP:Lanthipeptide	thermophilin 1277
CIG00046_0005_47	NRPS,NRPS-like	BGC0000561	RiPP:Lanthipeptide	thermophilin 1277
CIG00046_0005_49	NRPS,NRPS-like	BGC0000561	RiPP:Lanthipeptide	thermophilin 1277
CIG00046_0005_50	NRPS,NRPS-like	BGC0000561	RiPP:Lanthipeptide	thermophilin 1277
CIG00046_0005_51	NRPS,NRPS-like	BGC0000561	RiPP:Lanthipeptide	thermophilin 1277
CIG00046_0005_52	NRPS,NRPS-like	BGC0000561	RiPP:Lanthipeptide	thermophilin 1277
CIG00046_0005_53	NRPS,NRPS-like	BGC0000561	RiPP:Lanthipeptide	thermophilin 1277
CIG00046_0005_54	NRPS,NRPS-like	BGC0000561	RiPP:Lanthipeptide	thermophilin 1277
CIG00047_0005_11	NI-siderophore	BGC0000947	Other	vibrioferrin
CIG00047_0005_12	NI-siderophore	BGC0000947	Other	vibrioferrin
CIG00047_0005_13	NI-siderophore	BGC0000947	Other	vibrioferrin
CIG00047_0005_14	NI-siderophore	BGC0000944	Other:Non-NRP siderophore	staphyloferrin A
CIG00047_0005_15	NI-siderophore	BGC0000944	Other:Non-NRP siderophore	staphyloferrin A
CIG00047_0005_17	NI-siderophore	BGC0000944	Other:Non-NRP siderophore	staphyloferrin A
CIG00047_0005_2	NI-siderophore	BGC0000202	Polyketide	azicemicin B
CIG00047_0005_21	NI-siderophore	BGC0000127	Polyketide	pyoluteorin
CIG00047_0005_22	NI-siderophore	BGC0002448	NRP	Q6402A
CIG00047_0005_23	NI-siderophore	BGC0002560	RiPP	thiostreptamide S4
CIG00047_0005_4	NI-siderophore	BGC0002261	Polyketide	lucilactaene
CIG00047_0019_10	opine-like-metallophore	BGC0002487	Other	staphylopine
CIG00047_0019_11	opine-like-metallophore	BGC0002487	Other	staphylopine
CIG00047_0019_12	NRPS, opine-like-metallophore	BGC0002487	Other	staphylopine
CIG00047_0019_13	NRPS, opine-like-metallophore	BGC0002487	Other	staphylopine
CIG00047_0019_14	NRPS, opine-like-metallophore	BGC0002487	Other	staphylopine
CIG00047_0019_15	NRPS, opine-like-metallophore	BGC0002487	Other	staphylopine
CIG00047_0019_25	NRPS, opine-like-metallophore	BGC0000289	NRP:Glycopeptide+Saccharide:Hybrid/tailoring saccharide	A40926
CIG00047_0019_26	NRPS, opine-like-metallophore	BGC0000289	NRP:Glycopeptide+Saccharide:Hybrid/tailoring saccharide	A40926
CIG00047_0019_27	NRPS, opine-like-metallophore	BGC0000289	NRP:Glycopeptide+Saccharide:Hybrid/tailoring saccharide	A40926
CIG00047_0019_3	NRPS, opine-like-metallophore	BGC0002547	Polyketide	youssoufene A1
CIG00047_0019_30	NRPS, opine-like-metallophore	BGC0002662	NRP	petrichorin A
CIG00047_0019_31	NRPS, opine-like-metallophore	BGC0002662	NRP	petrichorin A
CIG00047_0019_35	NRPS, opine-like-metallophore	BGC0001058	NRP:Glycopeptide+Polyketide:Modular type I polyketide+Saccharide:Hybrid/tailoring saccharide	zorbamycin
CIG00047_0019_36	NRPS, opine-like-metallophore	BGC0000807	Saccharide	phosphonoglycans
CIG00047_0019_37	NRPS, opine-like-metallophore	BGC0000084	Polyketide	laidlomycin
CIG00047_0019_4	NRPS, opine-like-metallophore	BGC0002246	Terpene	naematolin
CIG00047_0019_42	NRPS, opine-like-metallophore	BGC0000202	Polyketide	azicemicin B
CIG00047_0019_5	NRPS, opine-like-metallophore	BGC0001944	Polyketide	funisamine
CIG00047_0019_7	NRPS, opine-like-metallophore	BGC0002487	Other	staphylopine
CIG00047_0019_8	NRPS, opine-like-metallophore	BGC0002487	Other	staphylopine
CIG00047_0031_12	NRPS, opine-like-metallophore	BGC0000026	Saccharide:Oligosaccharide	avilamycin A
CIG00047_0031_13	NRPS, opine-like-metallophore	BGC0002457	NRP	alazopeptin
CIG00047_0031_14	NRPS, opine-like-metallophore	BGC0001736	NRP	pepteridine A
CIG00047_0031_3	NRPS, opine-like-metallophore	BGC0000308	NRP	aureusimine A
CIG00063_0001_1057	lanthipeptide-class-ii	BGC0002087	NRP+Polyketide	gladiostatin A
CIG00063_0001_1059	lanthipeptide-class-ii	BGC0002682	Other	aerobactin
CIG00063_0001_1062	lanthipeptide-class-ii	BGC0000615	RiPP:Thiopeptide	TP-1161
CIG00063_0001_1065	lanthipeptide-class-ii	BGC0000982	NRP+Polyketide	cystothiazole A
CIG00063_0001_1068	RiPP-like	BGC0002362	Polyketide	loseolamycin A1
CIG00063_0001_1223	NRPS, RiPP-like	BGC0002540	Polyketide	tetramycin B
CIG00063_0001_1224	NRPS, RiPP-like	BGC0001514	Other	aristeromycin
CIG00063_0001_1227	NRPS, RiPP-like	BGC0001213	Polyketide	nataxazole
CIG00063_0001_1234	RiPP-like, lanthipeptide-class-ii	BGC0000290	NRP:Glycopeptide	A-47934
CIG00063_0001_1240	RiPP-like, lanthipeptide-class-ii	BGC0002122	NRP	gramicidin S
CIG00063_0001_1250	NRPS, RiPP-like, lanthipeptide-class-ii	BGC0000727	Saccharide	indigoidine
CIG00063_0001_1252	NRPS, RiPP-like, lanthipeptide-class-ii	BGC0000766	Saccharide	exopolysaccharide
CIG00063_0001_1262	NRPS, RiPP-like, lanthipeptide-class-ii	BGC0000433	NRP:Lipopeptide	surfactin
CIG00068_0002_186	lanthipeptide-class-ii	BGC0001088	NRP+Polyketide	albicidin
CIG00068_0002_259	lanthipeptide-class-ii	BGC0000896	Other	cycloserine
CIG00069_0038_5	RiPP-like	BGC0000500	RiPP:Lanthipeptide	carnolysin A1
CIG00084_0001_317	RiPP-like	BGC0002470	Other	synechobactin C9
CIG00084_0001_321	RiPP-like	BGC0000619, BGC0001388, BGC0001602	RiPP	gassericin E, gassericin T, gassericin-T
CIG00084_0001_323	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG00084_0001_324	RiPP-like	BGC0000619, BGC0001388, BGC0001602	RiPP	gassericin E, gassericin T, gassericin-T
CIG00084_0001_325	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG00084_0001_327	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG00084_0001_328	RiPP-like	BGC0000619, BGC0001388, BGC0001602	RiPP	gassericin E, gassericin T, gassericin-T
CIG00084_0001_329	RiPP-like	BGC0000619	RiPP	gassericin T
CIG00084_0001_330	RiPP-like	BGC0000619, BGC0001388, BGC0001602	RiPP	gassericin E, gassericin T, gassericin-T
CIG00084_0003_20	RiPP-like	BGC0000491	RiPP:Head-to-tailcyclized peptide	gassericin A
CIG00084_0003_21	RiPP-like	BGC0000485, BGC0000491, BGC0001222	RiPP, RiPP:Head-to-tailcyclized peptide	acidocin B, gassericin A
CIG00084_0003_24	RiPP-like	BGC0000491	RiPP:Head-to-tailcyclized peptide	gassericin A
CIG00084_0003_25	RiPP-like	BGC0001743	RiPP	plantaricyclin
CIG00084_0003_26	RiPP-like	BGC0002666	NRP+Alkaloid	legonindolizidine A6
CIG00084_0007_39	RiPP-like	BGC0000934	Other:Phenazine	5-acetyl-5,10-dihydrophenazine-1-carboxylic acid
CIG00084_0007_40	RiPP-like	BGC0000934	Other:Phenazine	5-acetyl-5,10-dihydrophenazine-1-carboxylic acid
CIG00084_0007_42	RiPP-like	BGC0001601	RiPP	gassericin-S
CIG00084_0007_43	RiPP-like	BGC0001601	RiPP	gassericin-S
CIG00084_0007_44	RiPP-like	BGC0001601	RiPP	gassericin-S
CIG00127_0006_31	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG00127_0031_11	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG00128_0001_2220	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG00139_0046_11	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG00139_0133_2	RiPP-like	BGC0000624	RiPP	salivaricin CRL1328 α peptide
CIG00146_0001_100	lanthipeptide-class-iv	BGC0000472	RiPP:Cyanobactin	anacyclamide A10
CIG00146_0001_101	lanthipeptide-class-iv	BGC0000472	RiPP:Cyanobactin	anacyclamide A10
CIG00146_0001_91	lanthipeptide-class-iv	BGC0000472	RiPP:Cyanobactin	anacyclamide A10
CIG00146_0001_96	lanthipeptide-class-iv	BGC0000504	RiPP:Lanthipeptide	cytolysin ClyLl
CIG00188_0001_46	T3PKS	BGC0001818	NRP	vazabitide A
CIG00188_0001_50	T3PKS	BGC0000938	Other:Aminocoumarin	fosfomycin
CIG00250_0004_1	RiPP-like	BGC0000526	RiPP:Lanthipeptide	macedocin
CIG00286_0006_126	RiPP-like	BGC0000619, BGC0001388, BGC0001602	RiPP	gassericin E, gassericin T, gassericin-T
CIG00286_0006_128	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG00331_0001_2412	RiPP-like	BGC0000526	RiPP:Lanthipeptide	macedocin
CIG00334_0007_97	NRPS	BGC0000347	NRP	equibactin
CIG00335_0003_91	NRP-metallophore,NRPS	BGC0000526	RiPP:Lanthipeptide	macedocin
CIG00335_0003_96	NRP-metallophore,NRPS	BGC0002667	RiPP	estericin A
CIG00336_0002_123	RiPP-like, lanthipeptide-class-ii	BGC0000532	RiPP:Lanthipeptide	mutacin II
CIG00336_0002_124	RiPP-like, lanthipeptide-class-ii	BGC0000521	RiPP:Lanthipeptide	lacticin 481
CIG00336_0002_140	RiPP-like, lanthipeptide-class-ii	BGC0000469, BGC0000470	RiPP:Bottromycin	bottromycin A2, bottromycin D
CIG00336_0005_66	lanthipeptide-class-ii	BGC0000310	NRP	bacitracin
CIG00338_0001_563	NRPS	BGC0001520	Polyketide	aurantinin B
CIG00338_0001_564	NRPS	BGC0000347	NRP	equibactin
CIG00338_0001_565	NRPS	BGC0000347	NRP	equibactin
CIG00357_0002_3	arylpolyene	BGC0001664	Terpene	merosterol
CIG00391_0002_20	lanthipeptide-class-ii	BGC0001088	NRP+Polyketide	albicidin
CIG00435_0003_134	lanthipeptide-class-ii	BGC0000526	RiPP:Lanthipeptide	macedocin
CIG00435_0003_135	lanthipeptide-class-ii	BGC0000532	RiPP:Lanthipeptide	mutacin II
CIG00435_0003_208	RiPP-like, lanthipeptide-class-ii	BGC0001469	NRP	marthiapeptide A
CIG00435_0003_212	lanthipeptide-class-ii	BGC0000469	RiPP:Bottromycin	bottromycin A2
CIG00435_0003_25	lanthipeptide-class-ii	BGC0001173	RiPP:LAP	plantazolicin
CIG00435_0003_28	lanthipeptide-class-ii	BGC0000314	Polyketide+NRP:Cyclic depsipeptide+Other:Aminocoumarin	bromoalterochromide A
CIG00452_0007_67	T3PKS	BGC0000872	Other	A-90289 A
CIG00452_0049_4	T3PKS	BGC0001184	Other	bacilysin
CIG00452_0054_2	T3PKS	BGC0000607	RiPP:Thiopeptide	micrococcin P1
CIG00585_0016_5	NRP-metallophore,NRPS	BGC0001111	NRP+Polyketide:Trans-AT type I polyketide	rhizopodin
CIG00585_0016_6	NRP-metallophore,NRPS, RRE-containing	BGC0000347	NRP	equibactin
CIG00663_0006_24	phosphonate	BGC0001062	Polyketide	TLN-05220
CIG00706_0002_75	NRP-metallophore,NRPS	BGC0001520	Polyketide	aurantinin B
CIG00759_0001_808	RiPP-like	BGC0000619, BGC0001388, BGC0001602	RiPP	gassericin E, gassericin T, gassericin-T
CIG00759_0001_809	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG00759_0001_810	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG00759_0001_813	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG00766_0035_9	RiPP-like	BGC0002520	Polyketide	quinolidomicin A
CIG00820_0001_936	lanthipeptide-class-iv	BGC0002657	Polyketide+NRP	deoxyhangtaimycin
CIG00826_0010_64	NRPS,NRPS-like	BGC0000294	NRP	acinetobactin
CIG00838_0004_64	RiPP-like	BGC0000619, BGC0001388, BGC0001602	RiPP	gassericin E, gassericin T, gassericin-T
CIG00838_0004_65	RiPP-like	BGC0000498, BGC0000561	RiPP:Lanthipeptide	bovicin HJ50, thermophilin 1277
CIG00838_0004_69	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG00838_0004_75	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG00838_0004_89	RiPP-like	BGC0000523	RiPP:Lanthipeptide	lactocin S
CIG00873_0018_3	arylpolyene	BGC0000839	Other	flexirubin
CIG00873_0018_4	arylpolyene	BGC0000839	Other	flexirubin
CIG00873_0018_7	arylpolyene	BGC0000839	Other	flexirubin
CIG00873_0018_8	arylpolyene	BGC0000839	Other	flexirubin
CIG00873_0028_10	arylpolyene	BGC0000838	Polyketide	flexirubin
CIG00873_0028_14	arylpolyene	BGC0000839	Other	flexirubin
CIG00873_0028_17	arylpolyene	BGC0002711	Polyketide	nostovalerolactone
CIG00873_0028_20	arylpolyene	BGC0000803	Saccharide	GG exopolysaccharide
CIG00873_0028_3	arylpolyene	BGC0000838	Polyketide	flexirubin
CIG00873_0028_4	arylpolyene	BGC0000838	Polyketide	flexirubin
CIG00883_0002_321	lanthipeptide-class-ii	BGC0000362	NRP	glycopeptidolipid
CIG00883_0005_13	NRPS, RiPP-like, lanthipeptide-class-ii	BGC0000607	RiPP:Thiopeptide	micrococcin P1
CIG00937_0001_1780	NRP-metallophore,NRPS	BGC0000141	Polyketide	rubradirin
CIG00937_0001_1796	NRPS	BGC0000413	NRP	Pf-5 pyoverdine
CIG00937_0001_1823	NRP-metallophore,NRPS	BGC0000325	NRP	coelichelin
CIG00937_0001_1824	NRP-metallophore,NRPS	BGC0000325	NRP	coelichelin
CIG00937_0001_1827	NRP-metallophore,NRPS	BGC0001394	NRP+Polyketide	phenalamide A2
CIG00937_0001_1829	NRP-metallophore,NRPS	BGC0002544	NRP	amychelin A
CIG00937_0001_1831	NRP-metallophore,NRPS	BGC0001027	NRP+Polyketide	nocobactin NA
CIG00937_0001_1832	NRP-metallophore,NRPS	BGC0001027	NRP+Polyketide	nocobactin NA
CIG00937_0001_1833	NRP-metallophore,NRPS	BGC0002073	NRP	dehydroxynocardamine
CIG00937_0001_1834	NRP-metallophore,NRPS	BGC0002073	NRP	dehydroxynocardamine
CIG00937_0001_1835	NRP-metallophore,NRPS	BGC0002073	NRP	dehydroxynocardamine
CIG00937_0001_1836	NRP-metallophore,NRPS	BGC0001783	Other	streptonigrin
CIG00937_0001_1837	NRP-metallophore,NRPS	BGC0000368	NRP	griseobactin
CIG00937_0001_1838	NRP-metallophore,NRPS	BGC0002636	Polyketide	streptophenazine 1
CIG00937_0001_1855	NRP-metallophore,NRPS	BGC0002363	RiPP	berninamycin K
CIG00937_0001_1857	NRP-metallophore,NRPS	BGC0000615	RiPP:Thiopeptide	TP-1161
CIG00937_0001_1858	NRP-metallophore,NRPS	BGC0000610	RiPP:Thiopeptide	nosiheptide
CIG00937_0001_268	NAPAA	BGC0002686	NRP	madurastatin D1
CIG00937_0001_271	NAPAA	BGC0000082	Polyketide	kijanimicin
CIG00937_0001_273	NAPAA	BGC0001740	NRP+Polyketide	phthoxazolin
CIG00937_0001_281	NAPAA	BGC0001412	Saccharide	polysaccharide C
CIG00939_0001_1082	terpene	BGC0002716	NRP	gamexpeptide A
CIG00951_0001_1044	NRP-metallophore,NRPS,T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
CIG00951_0001_1049	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
CIG00951_0001_1788	thiopeptide	BGC0000781	Saccharide	O-antigen
CIG00951_0001_1814	NRPS	BGC0000070	Polyketide:Iterative type I polyketide	griseofulvin
CIG00951_0001_2126	NRP-metallophore,NRPS	BGC0002476	NRP	enterobactin
CIG00951_0001_3133	NRPS-like	BGC0001522	Polyketide	auroramycin
CIG00951_0001_720	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0000972	NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide	N-myristoyl-D-asparagine
CIG00951_0001_721	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0000972	NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide	N-myristoyl-D-asparagine
CIG00951_0001_722	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0000972	NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide	N-myristoyl-D-asparagine
CIG00951_0001_723	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0000972	NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide	N-myristoyl-D-asparagine
CIG00951_0001_724	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0000972	NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide	N-myristoyl-D-asparagine
CIG00951_0001_725	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0000972	NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide	N-myristoyl-D-asparagine
CIG00951_0001_726	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0000972	NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide	N-myristoyl-D-asparagine
CIG00951_0001_727	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0000972	NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide	N-myristoyl-D-asparagine
CIG00951_0001_728	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0000972	NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide	N-myristoyl-D-asparagine
CIG00951_0001_729	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0000972	NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide	N-myristoyl-D-asparagine
CIG00951_0001_730	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0000972	NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide	N-myristoyl-D-asparagine
CIG00951_0001_731	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0000972	NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide	N-myristoyl-D-asparagine
CIG00951_0001_732	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0000972	NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide	N-myristoyl-D-asparagine
CIG00951_0001_733	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0000972	NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide	N-myristoyl-D-asparagine
CIG00951_0001_734	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0000972	NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide	N-myristoyl-D-asparagine
CIG00951_0001_735	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0000972	NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide	N-myristoyl-D-asparagine
CIG00951_0001_736	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0000972	NRP+Polyketide:Modular type I polyketide+Polyketide:Trans-AT type I polyketide	N-myristoyl-D-asparagine
CIG00951_0001_760	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
CIG00951_0001_761	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
CIG00951_0001_762	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
CIG00951_0001_763	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
CIG00951_0001_764	NRP-metallophore,NRPS,T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
CIG00951_0001_767	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
CIG00951_0001_769	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
CIG00951_0001_770	NRP-metallophore,NRPS,T1PKS, T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
CIG00951_0001_772	NRP-metallophore,NRPS,T1PKS	BGC0001055	NRP+Polyketide	yersiniabactin
CIG00954_0002_87	NRP-metallophore,NRPS	BGC0000388	NRP	mannopeptimycin
CIG00954_0002_89	NRP-metallophore,NRPS	BGC0000599	RiPP:Sactipeptide	thuricin CD α
CIG00954_0002_92	NRP-metallophore,NRPS	BGC0000511	RiPP:Lanthipeptide	ericin S
CIG00969_0001_1768	RiPP-like	BGC0001972	Other	toxoflavin
CIG00982_0001_547	NRP-metallophore,NRPS, RRE-containing	BGC0000347	NRP	equibactin
CIG00989_0234_14	RRE-containing, lanthipeptide-class-ii	BGC0000347	NRP	equibactin
CIG00989_0234_15	RRE-containing, lanthipeptide-class-ii	BGC0000347	NRP	equibactin
CIG00989_0234_16	RRE-containing, lanthipeptide-class-ii	BGC0000347	NRP	equibactin
CIG00989_0234_17	RRE-containing, lanthipeptide-class-ii	BGC0000347	NRP	equibactin
CIG00989_0234_18	RRE-containing, lanthipeptide-class-ii	BGC0000347	NRP	equibactin
CIG00989_0234_6	RRE-containing, lanthipeptide-class-ii	BGC0000347	NRP	equibactin
CIG00989_0236_1	NRPS	BGC0002426	NRP	deschlorosvetamycin A
CIG00989_0236_4	NRPS	BGC0001111	NRP+Polyketide:Trans-AT type I polyketide	rhizopodin
CIG00989_0250_28	NRP-metallophore,NRPS	BGC0000310	NRP	bacitracin
CIG00996_0084_2	NRPS	BGC0000347	NRP	equibactin
CIG00996_0086_11	NRP-metallophore,NRPS	BGC0002475	NRP	enantio-pyochelin
CIG00996_0086_12	NRP-metallophore,NRPS	BGC0000347	NRP	equibactin
CIG00996_0086_13	NRP-metallophore,NRPS	BGC0000347	NRP	equibactin
CIG00996_0086_14	NRP-metallophore,NRPS, RRE-containing, lanthipeptide-class-ii	BGC0000347	NRP	equibactin
CIG00996_0086_15	NRP-metallophore,NRPS, RRE-containing	BGC0000347	NRP	equibactin
CIG00996_0086_16	NRP-metallophore,NRPS, RRE-containing, lanthipeptide-class-ii	BGC0001780	NRP	siphonazole
CIG00996_0086_5	NRP-metallophore,NRPS	BGC0002570	NRP+Polyketide	yersiniabactin
CIG00996_0086_9	NRP-metallophore,NRPS	BGC0002472	NRP	ulbactin F
CIG00997_0080_33	terpene	BGC0000222	Polyketide	FD-594
CIG00997_0080_36	terpene	BGC0000637	Terpene	carotenoid
CIG00997_0080_43	terpene	BGC0000469	RiPP:Bottromycin	bottromycin A2
CIG00997_0080_44	terpene	BGC0001596	Polyketide	fluostatins M-Q
CIG00997_0080_46	terpene	BGC0002498	Other	desulfoclethramycin
CIG00997_0083_244	NAPAA	BGC0000806	Saccharide	phosphonoglycans
CIG00997_0083_246	NAPAA	BGC0000806	Saccharide	phosphonoglycans
CIG00997_0083_249	NAPAA	BGC0000082	Polyketide	kijanimicin
CIG00997_0083_252	NAPAA	BGC0001740	NRP+Polyketide	phthoxazolin
CIG00997_0083_253	NAPAA	BGC0000974	NRP+Polyketide	crocacin
CIG00997_0083_254	NAPAA	BGC0002174	NRP	ε-Poly-L-lysine
CIG00997_0083_259	NAPAA	BGC0001095	NRP	fengycin
CIG00997_0083_261	NAPAA	BGC0001412	Saccharide	polysaccharide C
CIG00997_0083_262	NAPAA	BGC0002390	Terpene	zealexin A1
CIG00997_0083_263	NAPAA	BGC0001281	Polyketide	ustilagic acid
CIG01002_0111_91	T3PKS	BGC0000620	RiPP	lacticin Q
CIG01009_0008_106	NRPS, RiPP-like, lanthipeptide-class-ii	BGC0002639	NRP	phospho-tyrolose
